Ticket,Symbol,Type,Lots,Entry Time,Entry Price,Exit Time,Exit Price,PnL (USD),ROI (%),Reason,Balance
317942231,NAS100,BUY,2.5,2026-06-05 14:00:00,29740.2,2026-06-05 11:16:13,29865.4,313.0,16.9919,VWAP Target,1842.05
317942231,NAS100,BUY,2.5,2026-06-05 14:00:00,29740.2,2026-06-05 11:16:15,29865.4,313.0,16.9919,Broker SL/TP,1842.05
319427067,NAS100,BUY,2.5,2026-06-08 14:00:00,29325.6,2026-06-08 11:09:32,29428.6,257.5,13.8043,VWAP Target,1865.36
319427067,NAS100,BUY,2.5,2026-06-08 14:00:00,29325.6,2026-06-08 11:09:34,29428.6,257.5,13.8043,Broker SL/TP,1865.36
320356450,NAS100,BUY,2.5,2026-06-09 14:00:02,29630.2,2026-06-09 11:10:06,29588.3,-104.75,-6.2147,Broker SL/TP,1685.52
